place_id,city_id,place_name,category,description,duration_hours,opening_hours,entry_fee,rating,latitude,longitude,best_time_to_visit
1,1,Charminar,History,Iconic 16th-century mosque and monument in Hyderabad.,1.5,9:30 AM – 5:30 PM,0,4.5,17.3616,78.4747,
2,1,Golconda Fort,History,Historic fort known for architecture and light show.,2.0,9:00 AM – 5:30 PM,50,4.6,17.3833,78.4011,
3,1,Salar Jung Museum,History,Famous museum housing art and antiques.,2.0,10:00 AM – 5:00 PM,20,4.7,17.3716,78.4802,
4,1,Ramoji Film City,Entertainment/Tourism,"Ramoji Film City is the world’s largest film-studio complex, combining movie-sets, theme-park attractions, gardens",8.0,09:00-17:30,1250,4.5,17.2546,78.65,
5,1,Birla Mandir,Temple,"Birla Mandir is a white-marble Hindu temple on a 280-foot hillock (Naubat Pahad), dedicated to Lord Venkateswara",1.5,7:00-12:00 & 15:00-21:00,0,4.5,17.4225,78.4449,
6,2,RK Beach,Adventure,Famous beach in Visakhapatnam for leisure and walks.,2.0,Open 24 hours,0,4.3,17.7,83.303,
7,2,INS Kursura Museum,History,Submarine museum showcasing naval history.,1.0,10:00 AM – 5:00 PM,20,4.4,17.71,83.3,
8,2,Kailasagiri,Adventure,Hilltop park with panoramic views.,1.5,6:00 AM – 9:00 PM,0,4.5,17.725,83.308,
9,2,Rushikonda Beach,Adventure,Famous beach in Visakhapatnam for leisure and walks.,4.0,Open 24 hours,0,4.5,17.822,83.46,
10,3,"Lalbagh Botanical Garden,",Adventure,Famous botanical garden with rare plants.,2.0,6:00 AM – 7:00 PM,25,4.6,12.9507,77.5848,
11,3,Bangalore Palace,History,Royal palace with Tudor-style architecture.,1.5,10:00 AM – 5:30 PM,230,4.5,12.998,77.592,
12,3,Tipu Sultan's Summer Palace,History,Historic summer palace of Tipu Sultan.,1.0,9:00 AM – 5:00 PM,15,4.4,12.949,77.57,
13,4,Mysore Palace,History,Grand palace with exquisite interiors and heritage.,2.0,10:00 AM – 5:30 PM,70,4.7,12.3051,76.6551,
14,4,Chamundi Hill,Adventure,Hill with temple and panoramic city views.,1.5,6:00 AM – 8:00 PM,0,4.4,12.321,76.6799,
15,4,St. Philomena's Church,History,Neo-Gothic church in Mysore.,1.0,8:00 AM – 6:00 PM,0,4.5,12.3086,76.6559,
16,5,Marina Beach,Adventure,Iconic Chennai beach for leisure and food.,2.0,Open 24 hours,0,4.3,13.0452,80.2498,
17,5,Kapaleeshwarar Temple,Temple,Ancient temple dedicated to Lord Shiva.,1.0,6:00 AM – 8:00 PM,0,4.5,13.0309,80.251,
18,5,Fort St. George,History,Historic fort and museum in Chennai.,1.5,9:00 AM – 5:00 PM,20,4.4,13.0827,80.282,
19,6,Marudamalai Temple,Temple,Popular hill temple near Coimbatore.,1.5,5:00 AM – 9:00 PM,0,4.4,11.033,76.93,
20,6,Ganesh Temple,Temple,Famous local temple in Coimbatore.,1.0,6:00 AM – 8:00 PM,0,4.3,11.017,76.974,
21,6,VOC Park,Adventure,Public park for leisure and walks.,1.5,6:00 AM – 7:00 PM,0,4.2,11.0168,76.9558,
22,7,Fort Kochi,History,Historic area with colonial architecture.,2.0,9:00 AM – 7:00 PM,0,4.5,9.9667,76.24,
23,7,Chinese Fishing Nets,Adventure,Iconic fishing nets along the waterfront.,1.0,6:00 AM – 6:00 PM,0,4.4,9.966,76.239,
24,7,Mattancherry Palace,History,Portuguese palace with murals and exhibits.,1.5,9:00 AM – 5:00 PM,5,4.5,9.9662,76.244,
25,8,Padmanabhaswamy Temple,Temple,Famous temple in Thiruvananthapuram.,1.0,5:00 AM – 12:00 PM & 4:00 PM – 8:00 PM,0,4.6,8.4873,76.9471,
26,8,Kovalam Beach,Adventure,Popular beach destination for relaxation.,2.0,Open 24 hours,0,4.5,8.402,76.978,
27,8,Kuthiramalika Palace Museum,History,Palace museum with artifacts.,1.5,9:00 AM – 5:00 PM,20,4.4,8.485,76.949,
28,9,Gateway of India,History,Famous monument and tourist attraction in Mumbai.,1.5,6:00 AM – 6:30 PM,0,4.6,18.922,72.8347,
29,9,Marine Drive,Adventure,Iconic promenade along the coastline.,1.0,Open 24 hours,0,4.5,18.9433,72.8237,
30,9,Elephanta Caves,History,UNESCO World Heritage site with rock-cut temples.,2.0,9:00 AM – 5:30 PM,50,4.7,18.963,72.9317,
31,10,Shaniwar Wada,History,Historic fortification in Pune.,1.5,9:00 AM – 5:30 PM,25,4.4,18.5196,73.8553,
32,10,Aga Khan Palace,History,Historic palace known for its architecture and Gandhi connection.,1.5,9:00 AM – 5:00 PM,30,4.5,18.5619,73.918,
33,10,Pataleshwar Cave Temple,Temple,Ancient rock-cut cave temple.,1.0,6:00 AM – 6:00 PM,0,4.3,18.518,73.855,
34,11,Deekshabhoomi,History,Important Buddhist monument in Nagpur.,1.0,6:00 AM – 6:00 PM,0,4.4,21.1458,79.0882,
35,11,Futala Lake,Adventure,Popular lake with scenic views.,1.5,6:00 AM – 9:00 PM,0,4.2,21.147,79.09,
36,11,Ramtek Fort Temple,Temple,Historic temple on a hill.,1.5,6:00 AM – 6:00 PM,0,4.3,21.294,79.378,
37,12,Ajanta Caves,History,UNESCO World Heritage site with ancient Buddhist caves.,3.0,9:00 AM – 5:00 PM,40,4.8,20.5529,75.7033,
38,12,Ellora Caves,History,Cave complex with rock-cut temples.,3.0,9:00 AM – 5:00 PM,40,4.7,20.0231,75.1796,
39,12,Bibi Ka Maqbara,History,Historic tomb in Aurangabad.,1.5,:00 AM – 6:00 PM,30,4.6,19.8833,75.352,
40,13,Church of Our Lady of Immaculate Conception,History,Iconic church in Panaji.,1.0,6:00 AM – 6:00 PM,0,4.5,15.4989,73.835,
41,13,Calangute Beach,Adventure,Popular beach in Goa.,2.0,Open 24 hours,0,4.4,15.546,73.754,
42,13,Basilica of Bom Jesus,History,UNESCO World Heritage church.,1.5,7:00 AM – 7:00 PM,0,4.6,15.593,73.912,
43,14,Sabarmati Ashram,History,Historic ashram of Mahatma Gandhi.,1.5,8:00 AM – 6:00 PM,0,4.6,23.055,72.6,
44,14,Akshardham Temple,Temple,Beautiful temple in Ahmedabad.,1.5,9:30 AM – 6:30 PM,0,4.7,23.0225,72.5714,
45,14,Kite Museum,History,Museum showcasing kites and crafts.,1.0,10:00 AM – 5:00 PM,20,4.3,23.028,72.561,
46,15,Surat Castle,History,Historic fort in Surat.,1.0,9:00 AM – 6:00 PM,10,4.3,21.195,72.83,
47,15,Dumas Beach,Adventure,Popular urban beach in Surat.,2.0,Open 24 hours,0,4.2,21.167,72.816,
48,15,Sarthana Nature Park,Adventure,Zoo and park in Surat.,1.5,9:00 AM – 5:00 PM,20,4.1,21.196,72.822,
49,16,Hawa Mahal,History,History,1.5,9:00 AM – 5:00 PM,50,4.6,26.9239,75.8267,
50,16,Amber Fort,History,Historic fort with scenic views.,2.0,8:00 AM – 5:30 PM,100,4.7,26.9855,75.8515,
51,16,Jantar Mantar,History,Astronomical observatory.,1.5,9:00 AM – 4:30 PM,40,4.5,26.9244,75.824,
52,17,Lake Pichola,Adventure,Scenic lake with boat rides.,1.5,7:00 AM – 6:00 PM,0,4.6,24.577,73.68,
53,17,Jagdish Temple,Temple,Historic Hindu temple.,1.0,6:00 AM – 9:00 PM,0,4.5,24.585,73.682,
54,17,City Palace,History,Royal palace with museums and gardens.,2.0,9:30 AM – 5:30 PM,100,4.7,24.576,73.6835,
55,18,Mehrangarh Fort,History,Historic fort with panoramic city views.,2.0,9:00 AM – 5:00 PM,100,4.8,26.295,73.035,
56,18,Umaid Bhawan Palace,History,Grand palace with museum.,1.5,9:00 AM – 5:00 PM,100,4.7,26.297,73.03,
57,18,Clock Tower,History,Local market area and landmark.,1.0,9:00 AM – 7:00 PM,0,4.4,26.296,73.032,
58,19,Red Fort,History,Historic fort and UNESCO World Heritage site.,2.0,9:30 AM – 4:30 PM,0,4.5,28.6562,77.241,
59,19,Qutub Minar,History,Tallest brick minaret in India.,1.5,7:00 AM – 5:00 PM,30,4.6,28.5244,77.1855,
60,19,India Gate,History,War memorial in New Delhi.,1.0,Open 24 hours,0,4.7,28.6129,77.2295,
61,20,Taj Mahal,History,World-famous monument and UNESCO site.,2.0,6:00 AM – 6:30 PM,50,4.9,27.1751,78.0421,
62,20,Agra Fort,History,Historic fort near Taj Mahal.,1.5,6:00 AM – 6:00 PM,40,4.7,27.179,78.0211,
63,20,Fatehpur Sikri,History,Historic city and UNESCO site.,2.0,9:00 AM – 5:00 PM,50,4.6,27.092,77.66,
64,21,Kashi Vishwanath Temple,Temple,Famous Shiva temple in Varanasi.,1.0,5:00 AM – 10:00 PM,0,4.8,25.31,82.9739,
65,21,Dashashwamedh Ghat,Adventure,Iconic ghat for evening aarti ceremonies.,1.5,5:00 AM – 9:00 PM,0,4.7,25.309,82.9732,
66,22,Bara Imambara,History,Historic monument with labyrinth in Lucknow.,1.5,6:00 AM – 6:00 PM,20,4.6,26.85,80.915,
67,22,Rumi Darwaza,History,Imposing gateway in Lucknow.,1.0,6:00 AM – 6:00 PM,0,4.5,26.847,80.913,
68,23,Allen Forest Zoo,Adventure,Zoo in Kanpur with wildlife exhibits.,1.5,9:00 AM – 5:00 PM,50,4.3,26.468,80.317,
69,23,Jahangirabad Fort,History,Historic fort near Kanpur.,1.0,9:00 AM – 5:00 PM,0,4.2,26.466,80.3175,
70,24,Victoria Memorial,History,Iconic marble monument in Kolkata.,2.0,10:00 AM – 5:00 PM,30,4.7,22.5448,88.3426,
71,24,Dakshineswar Kali Temple,Temple,Famous Kali temple along the Hooghly River.,1.0,5:00 AM – 9:00 PM,0,4.6,22.6456,88.3778,
72,24,Eden Gardens,Adventure,Historic cricket stadium.,1.5,9:00 AM – 6:00 PM,0,4.5,22.5646,88.343,
