hotel_id,city_id,hotel_name,price_range,rating,description,address,price,amenities,latitude,longitude
1,1,Taj Falaknuma Palace,Luxury,4.8,"Former palace of the Nizam, offering royal luxury and stunning views of Hyderabad.","Engine Bowli, Falaknuma, Hyderabad, Telangana 500053",35000,"Pool, Spa, Heritage Walk, Dining",17.3315,78.4682
2,1,ITC Kohenur,Premium,4.7,"Overlooking the Durgam Cheruvu lake, offering modern luxury in HITEC City.","Plot No. 5, Survey No. 83/1, HITEC City, Hyderabad, Telangana 500081",18000,"Lake View, Pool, Spa, Bar",17.4365,78.3845
3,1,Park Hyatt Hyderabad,Luxury,4.6,"Opulent hotel with upscale dining, a spa and an outdoor pool.","Road No. 2, Banjara Hills, Hyderabad, Telangana 500034",14500,"Luxury Spa, Fine Dining, Pool",17.4243,78.4287
4,1,Hotel Avasa,Mid-range,4.4,"Contemporary hotel with sleek rooms, 2 restaurants and a bar.","Survey No. 64, Sector 1, HUDA Techno Enclave, HITEC City, Hyderabad, Telangana 500081",7500,"WiFi, Gym, Bar, Pool",17.4435,78.3776
5,1,Lemon Tree Premier,Mid-range,4.3,"Modern rooms and suites, plus a 24-hour cafe and an outdoor pool.","Plot No. 2, Survey No. 64, HITEC City, Hyderabad, Telangana 500081",5500,"Business Center, Pool, Gym",17.4468,78.3768
6,1,Red Fox Hotel,Budget,4.1,"Bright, economy hotel offering a gym, a cafe and a recreation room.","Plot No. 2, Survey No. 64, HITEC City, Hyderabad, Telangana 500081",3200,"Free WiFi, Cafe, Gym",17.4474,78.3762
7,1,Holiday Inn Express,Budget,4.0,"Relaxed budget hotel with complimentary breakfast and Wi-Fi.","Gachibowli, IT Park, Hyderabad, Telangana 500032",2800,"Free Breakfast, WiFi",17.4278,78.3582
8,1,Courtyard by Marriott,Mid-range,4.3,"Refined hotel connecting to Marriott Hotel & Convention Centre.","1-3-1024, Lower Tank Bund Rd, Hyderabad, Telangana 500080",6500,"Lake View, Pool, Gym",17.4170,78.4842
9,2,The Leela Palace,Luxury,4.9,"Palatial hotel inspired by the Royal Palace of Mysore.","23, Old Airport Rd, HAL 2nd Stage, Kodihalli, Bengaluru, Karnataka 560008",28000,"Luxury, Gardens, Pool, Spa",12.9606,77.6484
10,2,Taj West End,Luxury,4.7,"Historic hotel set in 20 acres of tropical gardens.","25, Race Course Rd, High Grounds, Bengaluru, Karnataka 560001",22000,"Heritage, Gardens, Fine Dining",12.9837,77.5844
11,2,ITC Gardenia,Premium,4.6,"Eco-conscious luxury hotel inspired by the gardens of Bengaluru.","1, Residency Rd, Ashok Nagar, Bengaluru, Karnataka 560025",16000,"Sustainable, Helipad, Japanese Restaurant",12.9673,77.5949
12,2,JW Marriott Hotel,Premium,4.6,"Upscale hotel adjacent to Cubbon Park with multiple dining options.","24/1, Vittal Mallya Rd, KG Halli, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",19500,"Park View, Pool, Microbrewery",12.9715,77.5946
13,2,The Oberoi,Luxury,4.8,"Serene luxury hotel centred around a rain tree.","37-39, MG Road, Yellappa Garden, Yellappa Chetty Layout, Sivanchetti Gardens, Bengaluru, Karnataka 560001",18000,"Garden View, Private Balconies, Spa",12.9734,77.6192
14,2,St. Mark's Hotel,Mid-range,4.3,"Refined hotel with a rooftop bar and city views.","4/1, St. Marks Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001",6500,"Rooftop Bar, Gym, WiFi",12.9711,77.6011
15,2,Lemon Tree Premier,Mid-range,4.2,"Lakefront hotel with a rooftop pool and pan-Asian dining.","2/1, St. Johns Road, Ulsoor Lake, Bengaluru, Karnataka 560042",5800,"Lake View, Pool, Spa",12.9772,77.6186
16,2,Ibis Bengaluru City Centre,Budget,4.0,"Contemporary budget hotel with a colorful restaurant.","Plot No 30, Raja Ram Mohan Roy Rd, Richmond Rd, Bengaluru, Karnataka 560027",3800,"Free WiFi, Bar, Gym",12.9634,77.5956
17,19,The Leela Palace New Delhi,Luxury,4.9,"Modern opulence, flawless service, and beautiful design in Chanakyapuri.","Africa Avenue, Diplomatic Enclave, Chanakyapuri, New Delhi, Delhi 110023",22000,"Rooftop Pool, Spa, Butler Service, Fine Dining",28.5835,77.1942
