city_id,Restaurant Name,Country,Description,Rating
1,Spice Garden,India,Famous for delicious biryani and traditional recipes.,3.6
1,Fusion Feast,India,Renowned for its excellent customer service and cozy atmosphere.,3.9
1,The Hungry Fork,India,Famous for delicious biryani and traditional recipes.,4.3
1,City Lights Restaurant,India,Serves flavorful dishes made with fresh local ingredients.,3.7
1,Palm Grove,India,Serves flavorful dishes made with fresh local ingredients.,4.5
1,Ocean Pearl,India,Famous for delicious biryani and traditional recipes.,4.5
2,Food Fiesta,India,Known for its authentic Indian cuisine and warm ambiance.,4.7
2,Ocean Pearl,India,Known for its authentic Indian cuisine and warm ambiance.,5
2,Classic Dhaba,India,A favorite spot for food lovers seeking rich and tasty meals.,4.6
2,Saffron Delight,India,Offers a wide range of vegetarian and non-vegetarian specialties.,4.5
2,Palm Grove,India,Renowned for its excellent customer service and cozy atmosphere.,5
2,Urban Spice Hub,India,Known for its authentic Indian cuisine and warm ambiance.,4.9
3,Ocean Pearl,India,Known for its authentic Indian cuisine and warm ambiance.,4.3
3,Taste of India,India,Known for its authentic Indian cuisine and warm ambiance.,3.7
3,Silver Plate,India,Serves flavorful dishes made with fresh local ingredients.,3.8
3,Flavors Cafe,India,Serves flavorful dishes made with fresh local ingredients.,3.6
3,Urban Tandoor,India,Popular for freshly prepared dishes and family-friendly dining.,4.7
3,Saffron Delight,India,Offers a wide range of vegetarian and non-vegetarian specialties.,4
4,Spice Garden,India,A favorite spot for food lovers seeking rich and tasty meals.,4.7
4,Heritage Kitchen,India,A favorite spot for food lovers seeking rich and tasty meals.,4.9
4,Golden Spoon,India,Serves flavorful dishes made with fresh local ingredients.,4.3
4,Saffron Delight,India,A favorite spot for food lovers seeking rich and tasty meals.,3.6
4,City Lights Restaurant,India,Known for its authentic Indian cuisine and warm ambiance.,3.5
4,Skyline Rooftop,India,Offers a wide range of vegetarian and non-vegetarian specialties.,3.8
5,Mint Leaf Restaurant,India,A perfect place for casual dining with quality service.,4.7
5,Spice Garden,India,Serves flavorful dishes made with fresh local ingredients.,3.6
5,Taste of India,India,Known for its authentic Indian cuisine and warm ambiance.,4.2
5,Urban Tandoor,India,Popular for freshly prepared dishes and family-friendly dining.,3.5
5,Mountain View Diner,India,Popular for freshly prepared dishes and family-friendly dining.,4.9
5,Ocean Pearl,India,Famous for delicious biryani and traditional recipes.,4
6,Urban Tandoor,India,Popular for freshly prepared dishes and family-friendly dining.,3.6
6,Ocean Pearl,India,A favorite spot for food lovers seeking rich and tasty meals.,3.8
6,Spice Garden,India,A perfect place for casual dining with quality service.,4.5
6,Mountain View Diner,India,Serves flavorful dishes made with fresh local ingredients.,3.6
6,Coastal Catch,India,A favorite spot for food lovers seeking rich and tasty meals.,4.3
6,Sunset Dine,India,Famous for delicious biryani and traditional recipes.,4.9
7,Heritage Kitchen,India,Serves flavorful dishes made with fresh local ingredients.,4.5
7,Silver Plate,India,Renowned for its excellent customer service and cozy atmosphere.,3.6
7,City Lights Restaurant,India,Offers a wide range of vegetarian and non-vegetarian specialties.,4.1
7,Urban Tandoor,India,A perfect place for casual dining with quality service.,3.6
7,The Food Court,India,A perfect place for casual dining with quality service.,3.9
7,Coastal Catch,India,A perfect place for casual dining with quality service.,4.2
8,Green Leaf Kitchen,India,Famous for delicious biryani and traditional recipes.,4.6
8,Fusion Feast,India,Famous for delicious biryani and traditional recipes.,4.2
8,Urban Spice Hub,India,Offers a wide range of vegetarian and non-vegetarian specialties.,3.5
8,Ocean Pearl,India,Known for its authentic Indian cuisine and warm ambiance.,4.2
8,Palm Grove,India,Renowned for its excellent customer service and cozy atmosphere.,3.8
8,Grand Thali,India,Popular for freshly prepared dishes and family-friendly dining.,3.8
9,Mountain View Diner,India,Renowned for its excellent customer service and cozy atmosphere.,4.5
9,Saffron Delight,India,Known for its authentic Indian cuisine and warm ambiance.,3.9
9,The Hungry Fork,India,Renowned for its excellent customer service and cozy atmosphere.,4.1
9,Mint Leaf Restaurant,India,Renowned for its excellent customer service and cozy atmosphere.,4.3
9,Village Treat,India,Renowned for its excellent customer service and cozy atmosphere.,3.6
9,Aroma Multicuisine,India,Popular for freshly prepared dishes and family-friendly dining.,4
10,Palm Grove,India,Known for its authentic Indian cuisine and warm ambiance.,3.9
10,Urban Spice Hub,India,Renowned for its excellent customer service and cozy atmosphere.,4.4
10,Food Fiesta,India,Popular for freshly prepared dishes and family-friendly dining.,4.9
10,The Curry Point,India,Offers a wide range of vegetarian and non-vegetarian specialties.,3.8
10,Flavors Cafe,India,Famous for delicious biryani and traditional recipes.,4.8
10,Skyline Rooftop,India,Offers a wide range of vegetarian and non-vegetarian specialties.,3.7
11,Urban Tandoor,India,Offers a wide range of vegetarian and non-vegetarian specialties.,4.5
11,Food Fiesta,India,Offers a wide range of vegetarian and non-vegetarian specialties.,4.1
11,Spice Garden,India,A favorite spot for food lovers seeking rich and tasty meals.,4
11,Urban Spice Hub,India,A perfect place for casual dining with quality service.,3.9
11,The Curry Point,India,A favorite spot for food lovers seeking rich and tasty meals.,3.5
11,Heritage Kitchen,India,Famous for delicious biryani and traditional recipes.,4.1
12,Saffron Delight,India,Famous for delicious biryani and traditional recipes.,4.9
12,The Food Court,India,Offers a wide range of vegetarian and non-vegetarian specialties.,4.5
12,Spice Garden,India,Famous for delicious biryani and traditional recipes.,4.8
12,The Curry Point,India,Popular for freshly prepared dishes and family-friendly dining.,4
12,Green Leaf Kitchen,India,A perfect place for casual dining with quality service.,4.4
12,Royal Biryani House,India,Popular for freshly prepared dishes and family-friendly dining.,4.3
13,Saffron Delight,India,A perfect place for casual dining with quality service.,4.5
13,Skyline Rooftop,India,Serves flavorful dishes made with fresh local ingredients.,3.8
13,Silver Plate,India,Serves flavorful dishes made with fresh local ingredients.,3.7
13,The Food Court,India,Serves flavorful dishes made with fresh local ingredients.,4.6
13,Urban Tandoor,India,A perfect place for casual dining with quality service.,4.9
13,Fusion Feast,India,Famous for delicious biryani and traditional recipes.,3.5
14,Desi Tadka,India,A favorite spot for food lovers seeking rich and tasty meals.,3.6
14,Taste of India,India,Offers a wide range of vegetarian and non-vegetarian specialties.,4.2
14,Spice Garden,India,A perfect place for casual dining with quality service.,4.2
14,Mint Leaf Restaurant,India,A perfect place for casual dining with quality service.,3.7
14,Palm Grove,India,Offers a wide range of vegetarian and non-vegetarian specialties.,4.2
14,Silver Plate,India,Renowned for its excellent customer service and cozy atmosphere.,3.9
15,Spice Garden,India,A perfect place for casual dining with quality service.,4.3
15,Heritage Kitchen,India,Renowned for its excellent customer service and cozy atmosphere.,3.9
15,Flavors Cafe,India,Famous for delicious biryani and traditional recipes.,4.1
15,Sunset Dine,India,Popular for freshly prepared dishes and family-friendly dining.,4.8
